suitable	potrivit
suitcase	geamantan
suitor	pretendent
summer	vară
sum	sumă
sun	soare
superb	superb
superior	superior
sure	sigur
surprise	surpriză
surreptitious	ascuns
suspicion	bănuială
suspicious	bănuitor
swan	lebădă
swarthy	oacheș
sweet	dulce
sweetness	dulceață
swift	iute
swollen	umflat
symbol	simbol
sympathetic	compătimitor
syntax	sintaxă
table	masă
tail	coadă
tale	poveste
tape	bandă
task	sarcină
taste	gust
taxation	taxare
tea	ceai
teacher	profesor
team	echipă
tear	lacrimă
technical	technic
tedious	obositor
telephone	telefon
tenacious	tenace
tender	fraged
terrible	teribil
test	probă
thankful	recunoscător
thankful	recunoscător
theory	teorie
thick	gros
thickness	grosime
thigh	coapsă
thimble	degetar
thing	lucru
thin	slab
thirst	sete
thorough	conștiincios
thought	gând
throat	gât
thunderbolt	trăznet
thunder	tunet
ticket	bilet
tidy	ordonat
time	timp
timid	sfios
tin	cositor
tired	obosit
title	titlu
to abandon	a abandona
to abbreviate	a prescurta
to absolve	a absolvi
to accept	a accepta
to accompany	a însoți
to accustom	a obișnui
to achieve	a dobândi
to act	a acționa
to add	a adăuga
to address	a adresa
to adhere	a adera
to adjust	a ajusta
to adjust	a se adapta
to admire	a admira
to admit	a admite
to advance	a înainta
to advise	a recomanda
to advise	a sfătui
to afflict	a îndurera
to age	a îmbătrâni
to agree	a fi de acord
to aim	a avea în vedere
to allure	a atrage
to alter	a schimba
to amaze	a ului
to amuse	a distra
to announce	a anunța
to answer	a răspunde
to appear	a apărea
to appease	a liniști
to approach	a se apropia
to approve	a aproba
to arrange	a aranja
to arrive	a ajunge
to ascend	a urca
to ask	a întreba
to assuage	a alina
to assure	a asigura
to astonish	a uimi
to atone	a compensa
to attack	a ataca
to attract	a atrage
to avenge	a răzbuna
to avoid	a evita
tobacco	tutun
to baptize	a boteza
to bathe	a face baie
to be able	a putea
to be	a fi
to bear	a căra
to beat	a bate
to beat	a bătea
to become	a deveni
to beg	a cerși
to beget	a zămisli
to begin	a începe
to be glad	a se bucura
to behead	a decapita
to behold	a privi
to believe	a crede
to belong	a aparține
to bend	a îndoi
to bequeath	a lăsa moștenire
to beseech	a implora
to besiege	a asedia
to bet	a paria
to betray	a trăda
to bewitch	a vrăji
to bind	a lega
to bite	a mușca
to blame	a blama
to bless	a binecuvânta
to blink	a pâlpâi
to blossom	a înflori
to blow	a sufla
to blunder	a încurca
to boast	a se lăuda
to boil	a fierbe
to book	a rezerva
to bore	a găuri
to bore	a plictisi
to borrow	a împrumuta
to bow	a se înclina
to brake	a frâna
to branch	a se ramifica
to break	a sparge
to breathe	a respira
to bring	a aduce
to brush	a peria
to build	a construi
to burgle	a da spargeri
to burn	a arde
to burst	a izbucni
to bury	a îngropa
to buy	a cumpăra
to calculate	a calcula
to call	a chema
to calm	a domoli
to carry	a căra
to carry	a purta
to catch	a prinde
to cease	a înceta
to celebrate	a sărbători
to change	a schimba
to chase	a urmări
to chase	a vâna
to chastise	a pedepsi
to chat	a sporovăi
to check	a verifica
to chew	a mesteca
to chide	a admonesta
to chip	a ciopli
to choke	a sufoca
to choose	a alege
to claim	a pretinde
to classify	a clasifica
to clean	a curăța
to climb	a urca
to close	a închide
to coagulate	a coagula
to collect	a colecționa
to collect	a culege
to comb	a pieptăna
to come	a veni
to command	a comanda
to communicate	a comunica
to compare	a compara
to compel	a constrânge
to compete	a se întrece
to complain	a se plânge
to conceal	a ascunde
to conceive	a concepe
to conduct	a conduce
to confess	a se spovedi
to confide	a încredința
to confront	a înfrunta
to congratulate	a felicita
to connect	a lega
to consent	a consimți
to consume	a consuma
to continue	a continua
to contradict	a contrazice
to contribute	a contribui
to control	a controla
to converse	a discuta
to convince	a convinge
to cook	a găti
to cool	a răci
to copy	a copia
to correct	a corecta
to cost	a costa
to cough	a tuși
to count	a număra
to cover	a acoperi
to crave	a dori
to create	a crea
to creep	a se târî
to creep	a târî
to cross	a traversa
to crush	a strivi
to cure	a vindeca
to curse	a blestema
to cut	a tăia
to dampen	a umezi
to dance	a dansa
to dare	a îndrăzni
to darken	a întuneca
to debate	a dezbate
to deceive	a decepționa
to deceive	a înșela
to decide	a decide
to decide	a hotărî
to declare	a declara
to decorate	a decora
to decrease	a descrește
to dedicate	a dedica
to deepen	a adânci
to deepen	a aprofunda
to defeat	a învinge
to defend	a apăra
to define	a defini
to degenerate	a degenera
to degrade	a degrada
to degrade	a înjosi
to deign	a binevoi
to delay	a amâna
to deliver	a livra
to demand	a cere
to demolish	a demola
to deny	a nega
to deny	a nu recunoaște
to depart	a pleca
to depend	a depinde
to deprive	a lipsi
to descend	a coborî
to desert	a părăsi
to deserve	a merita
to desire	a dori
to despise	a disprețui
to destroy	a distruge
to detach	a detașa
to detain	a deține
to determine	a determina
to devastate	a devasta
to develop	a dezvolta
to dictate	a dicta
to die	a muri
to dig	a săpa
to dine	a cina
to disappear	a dispărea
to disappoint	a dezamăgi
to disapprove	a dezaproba
to disavow	a retracta
to discern	a deosebi
to disclose	a dezvălui
to discover	a descoperi
to discuss	a discuta
to disembark	a debarca
to disinherit	a dezmoșteni
to display	a expune
to displease	a nemulțumi
to dispossess	a desposeda
to distribute	a distribui
to disturb	a deranja
to divide	a împărți
to do	a face
to dominate	a domina
to doubt	a se îndoi
to drag	a trage
to draw	a desena
to dream	a visa
to dress	a îmbrăca
to drink	a bea
to dry	a usca
to dwell	a locui
to earn	a câștiga
to eat	a mânca
to elect	a alege
to embrace	a îmbrățișa
to employ	a angaja
to empty	a goli
to encircle	a încercui
to enclose	a cuprinde
to enclose	a împrejmui
